,RMS,P2P,Mean,Variance
c1_g0.1,0.9984894259818731,0.9984894259818731,0.9984894259818731,0.5217522658610272
c1_g0.2,0.9984894259818731,0.9984894259818731,0.9984894259818731,0.5105740181268882
c1_g0.4,0.9984894259818731,0.9984894259818731,0.9984894259818731,0.5220543806646526
c1_g0.8,0.9984894259818731,0.9984894259818731,0.9984894259818731,0.5290030211480362
c1_g1.6,0.9268882175226586,0.9268882175226586,0.9268882175226586,0.5326283987915408
c1_g3.2,0.9891238670694864,0.9891238670694864,0.9891238670694864,0.5302114803625377
c1_g6.4,0.9827794561933535,0.9827794561933535,0.9827794561933535,0.486404833836858
c1_g12.8,0.6797583081570997,0.6797583081570997,0.6797583081570997,0.45589123867069486
c10_g0.1,1.0,1.0,1.0,0.527190332326284
c10_g0.2,1.0,1.0,1.0,0.5356495468277945
c10_g0.4,1.0,1.0,1.0,0.5444108761329305
c10_g0.8,0.9984894259818731,0.9984894259818731,0.9984894259818731,0.5492447129909366
c10_g1.6,0.9012084592145015,0.9012084592145015,0.9012084592145015,0.5320241691842901
c10_g3.2,0.9867069486404834,0.9867069486404834,0.9867069486404834,0.4984894259818731
c10_g6.4,0.9848942598187311,0.9848942598187311,0.9848942598187311,0.5108761329305136
c10_g12.8,0.9767371601208459,0.9767371601208459,0.9767371601208459,0.49154078549848945
c100_g0.1,1.0,1.0,1.0,0.5534743202416919
c100_g0.2,1.0,1.0,1.0,0.5670694864048338
c100_g0.4,1.0,1.0,1.0,0.5734138972809668
c100_g0.8,0.997583081570997,0.997583081570997,0.997583081570997,0.5359516616314199
c100_g1.6,0.8993957703927492,0.8993957703927492,0.8993957703927492,0.5078549848942598
c100_g3.2,0.986404833836858,0.986404833836858,0.986404833836858,0.5138972809667673
c100_g6.4,0.9848942598187311,0.9848942598187311,0.9848942598187311,0.507250755287009
c100_g12.8,0.9712990936555891,0.9712990936555891,0.9712990936555891,0.4909365558912387
c1000_g0.1,1.0,1.0,1.0,0.5761329305135952
c1000_g0.2,1.0,1.0,1.0,0.5794561933534743
c1000_g0.4,0.9987915407854985,0.9987915407854985,0.9987915407854985,0.5389728096676737
c1000_g0.8,0.9948640483383686,0.9948640483383686,0.9948640483383686,0.5154078549848943
c1000_g1.6,0.8987915407854985,0.8987915407854985,0.8987915407854985,0.5208459214501511
c1000_g3.2,0.9858006042296072,0.9858006042296072,0.9858006042296072,0.5123867069486405
c1000_g6.4,0.9836858006042296,0.9836858006042296,0.9836858006042296,0.5066465256797583
c1000_g12.8,0.972809667673716,0.972809667673716,0.972809667673716,0.49154078549848945
c10000_g0.1,1.0,1.0,1.0,0.5821752265861028
c10000_g0.2,0.9987915407854985,0.9987915407854985,0.9987915407854985,0.5362537764350453
c10000_g0.4,0.9969788519637462,0.9969788519637462,0.9969788519637462,0.5202416918429003
c10000_g0.8,0.9945619335347432,0.9945619335347432,0.9945619335347432,0.5226586102719033
c10000_g1.6,0.8984894259818731,0.8984894259818731,0.8984894259818731,0.5163141993957704
c10000_g3.2,0.9854984894259818,0.9854984894259818,0.9854984894259818,0.5117824773413897
c10000_g6.4,0.9836858006042296,0.9836858006042296,0.9836858006042296,0.5066465256797583
c10000_g12.8,0.9725075528700906,0.9725075528700906,0.9725075528700906,0.49154078549848945
c100000_g0.1,0.9987915407854985,0.9987915407854985,0.9987915407854985,0.5338368580060423
c100000_g0.2,0.9972809667673715,0.9972809667673715,0.9972809667673715,0.519939577039275
c100000_g0.4,0.9960725075528701,0.9960725075528701,0.9960725075528701,0.525679758308157
c100000_g0.8,0.9945619335347432,0.9945619335347432,0.9945619335347432,0.5196374622356495
c100000_g1.6,0.8984894259818731,0.8984894259818731,0.8984894259818731,0.5157099697885197
c100000_g3.2,0.9851963746223565,0.9851963746223565,0.9851963746223565,0.5117824773413897
c100000_g6.4,0.9836858006042296,0.9836858006042296,0.9836858006042296,0.5066465256797583
c100000_g12.8,0.9694864048338369,0.9694864048338369,0.9694864048338369,0.49154078549848945
