,RMS,P2P,Mean,Variance
c1_g0.1,1.0,1.0,1.0,0.9282477341389728
c1_g0.2,1.0,1.0,1.0,0.9410876132930514
c1_g0.4,1.0,1.0,1.0,0.9516616314199395
c1_g0.8,1.0,1.0,1.0,0.9637462235649547
c1_g1.6,1.0,1.0,1.0,0.9765861027190332
c1_g3.2,1.0,1.0,1.0,0.9841389728096677
c1_g6.4,1.0,1.0,1.0,0.9848942598187311
c1_g12.8,1.0,1.0,1.0,0.9818731117824774
c10_g0.1,1.0,1.0,1.0,0.9569486404833837
c10_g0.2,1.0,1.0,1.0,0.9675226586102719
c10_g0.4,1.0,1.0,1.0,0.972809667673716
c10_g0.8,1.0,1.0,1.0,0.9811178247734139
c10_g1.6,1.0,1.0,1.0,0.9833836858006042
c10_g3.2,1.0,1.0,1.0,0.9826283987915407
c10_g6.4,1.0,1.0,1.0,0.9818731117824774
c10_g12.8,1.0,1.0,1.0,0.9818731117824774
c100_g0.1,1.0,1.0,1.0,0.9735649546827795
c100_g0.2,1.0,1.0,1.0,0.9773413897280967
c100_g0.4,1.0,1.0,1.0,0.9818731117824774
c100_g0.8,1.0,1.0,1.0,0.9818731117824774
c100_g1.6,1.0,1.0,1.0,0.9818731117824774
c100_g3.2,1.0,1.0,1.0,0.9826283987915407
c100_g6.4,1.0,1.0,1.0,0.9848942598187311
c100_g12.8,1.0,1.0,1.0,0.9826283987915407
c1000_g0.1,1.0,1.0,1.0,0.9773413897280967
c1000_g0.2,1.0,1.0,1.0,0.9803625377643505
c1000_g0.4,1.0,1.0,1.0,0.979607250755287
c1000_g0.8,1.0,1.0,1.0,0.979607250755287
c1000_g1.6,1.0,1.0,1.0,0.9811178247734139
c1000_g3.2,1.0,1.0,1.0,0.9833836858006042
c1000_g6.4,1.0,1.0,1.0,0.9826283987915407
c1000_g12.8,1.0,1.0,1.0,0.9826283987915407
c10000_g0.1,1.0,1.0,1.0,0.9826283987915407
c10000_g0.2,1.0,1.0,1.0,0.979607250755287
c10000_g0.4,1.0,1.0,1.0,0.9788519637462235
c10000_g0.8,1.0,1.0,1.0,0.979607250755287
c10000_g1.6,1.0,1.0,1.0,0.9818731117824774
c10000_g3.2,1.0,1.0,1.0,0.9818731117824774
c10000_g6.4,1.0,1.0,1.0,0.9826283987915407
c10000_g12.8,1.0,1.0,1.0,0.9826283987915407
c100000_g0.1,1.0,1.0,1.0,0.979607250755287
c100000_g0.2,1.0,1.0,1.0,0.979607250755287
c100000_g0.4,1.0,1.0,1.0,0.9811178247734139
c100000_g0.8,1.0,1.0,1.0,0.9788519637462235
c100000_g1.6,1.0,1.0,1.0,0.9788519637462235
c100000_g3.2,1.0,1.0,1.0,0.9818731117824774
c100000_g6.4,1.0,1.0,1.0,0.9773413897280967
c100000_g12.8,1.0,1.0,1.0,0.9788519637462235
