,RMS,P2P,Mean,Variance
c1_g0.1,1.0,1.0,1.0,0.918429003021148
c1_g0.2,1.0,1.0,1.0,0.918429003021148
c1_g0.4,1.0,1.0,1.0,0.918429003021148
c1_g0.8,1.0,1.0,1.0,0.918429003021148
c1_g1.6,1.0,1.0,1.0,0.918429003021148
c1_g3.2,1.0,1.0,1.0,0.918429003021148
c1_g6.4,1.0,1.0,1.0,0.918429003021148
c1_g12.8,1.0,1.0,1.0,0.918429003021148
c10_g0.1,1.0,1.0,1.0,0.9282477341389728
c10_g0.2,1.0,1.0,1.0,0.9282477341389728
c10_g0.4,1.0,1.0,1.0,0.9282477341389728
c10_g0.8,1.0,1.0,1.0,0.9282477341389728
c10_g1.6,1.0,1.0,1.0,0.9282477341389728
c10_g3.2,1.0,1.0,1.0,0.9282477341389728
c10_g6.4,1.0,1.0,1.0,0.9282477341389728
c10_g12.8,1.0,1.0,1.0,0.9282477341389728
c100_g0.1,1.0,1.0,1.0,0.9463746223564955
c100_g0.2,1.0,1.0,1.0,0.9463746223564955
c100_g0.4,1.0,1.0,1.0,0.9463746223564955
c100_g0.8,1.0,1.0,1.0,0.9463746223564955
c100_g1.6,1.0,1.0,1.0,0.9463746223564955
c100_g3.2,1.0,1.0,1.0,0.9463746223564955
c100_g6.4,1.0,1.0,1.0,0.9463746223564955
c100_g12.8,1.0,1.0,1.0,0.9463746223564955
c1000_g0.1,1.0,1.0,1.0,0.9478851963746223
c1000_g0.2,1.0,1.0,1.0,0.9478851963746223
c1000_g0.4,1.0,1.0,1.0,0.9478851963746223
c1000_g0.8,1.0,1.0,1.0,0.9478851963746223
c1000_g1.6,1.0,1.0,1.0,0.9478851963746223
c1000_g3.2,1.0,1.0,1.0,0.9478851963746223
c1000_g6.4,1.0,1.0,1.0,0.9478851963746223
c1000_g12.8,1.0,1.0,1.0,0.9478851963746223
c10000_g0.1,1.0,1.0,1.0,0.9546827794561934
c10000_g0.2,1.0,1.0,1.0,0.9546827794561934
c10000_g0.4,1.0,1.0,1.0,0.9546827794561934
c10000_g0.8,1.0,1.0,1.0,0.9546827794561934
c10000_g1.6,1.0,1.0,1.0,0.9546827794561934
c10000_g3.2,1.0,1.0,1.0,0.9546827794561934
c10000_g6.4,1.0,1.0,1.0,0.9546827794561934
c10000_g12.8,1.0,1.0,1.0,0.9546827794561934
c100000_g0.1,1.0,1.0,1.0,0.9561933534743202
c100000_g0.2,1.0,1.0,1.0,0.9561933534743202
c100000_g0.4,1.0,1.0,1.0,0.9561933534743202
c100000_g0.8,1.0,1.0,1.0,0.9561933534743202
c100000_g1.6,1.0,1.0,1.0,0.9561933534743202
c100000_g3.2,1.0,1.0,1.0,0.9561933534743202
c100000_g6.4,1.0,1.0,1.0,0.9561933534743202
c100000_g12.8,1.0,1.0,1.0,0.9561933534743202
