,RMS,P2P,Mean,Variance,gamma,C
0,1.0,1.0,1.0,1.0,0.1,100
1,1.0,1.0,1.0,1.0,0.5,100
2,1.0,1.0,1.0,1.0,1.0,100
3,1.0,1.0,1.0,1.0,5.0,100
4,1.0,1.0,1.0,1.0,10.0,100
5,1.0,1.0,1.0,1.0,25.0,100
6,1.0,1.0,1.0,0.9984894259818731,0.1,10000
7,1.0,1.0,1.0,0.9984894259818731,0.5,10000
8,1.0,1.0,1.0,0.9984894259818731,1.0,10000
9,1.0,1.0,1.0,0.9984894259818731,5.0,10000
10,1.0,1.0,1.0,0.9984894259818731,10.0,10000
11,1.0,1.0,1.0,0.9984894259818731,25.0,10000
12,1.0,1.0,1.0,0.9984894259818731,0.1,100000
13,1.0,1.0,1.0,0.9984894259818731,0.5,100000
14,1.0,1.0,1.0,0.9984894259818731,1.0,100000
15,1.0,1.0,1.0,0.9984894259818731,5.0,100000
16,1.0,1.0,1.0,0.9984894259818731,10.0,100000
17,1.0,1.0,1.0,0.9984894259818731,25.0,100000
18,1.0,1.0,1.0,0.9984894259818731,0.1,1000000
19,1.0,1.0,1.0,0.9984894259818731,0.5,1000000
20,1.0,1.0,1.0,0.9984894259818731,1.0,1000000
21,1.0,1.0,1.0,0.9984894259818731,5.0,1000000
22,1.0,1.0,1.0,0.9984894259818731,10.0,1000000
23,1.0,1.0,1.0,0.9984894259818731,25.0,1000000
24,1.0,1.0,1.0,0.9984894259818731,0.1,10000000
25,1.0,1.0,1.0,0.9984894259818731,0.5,10000000
26,1.0,1.0,1.0,0.9984894259818731,1.0,10000000
27,1.0,1.0,1.0,0.9984894259818731,5.0,10000000
28,1.0,1.0,1.0,0.9984894259818731,10.0,10000000
29,1.0,1.0,1.0,0.9984894259818731,25.0,10000000
