,RMS,P2P,Mean,Variance,gamma,C
0,1.0,1.0,1.0,1.0,0.1,10
1,1.0,1.0,1.0,1.0,1.0,10
2,1.0,1.0,1.0,1.0,10.0,10
3,0.9954682779456193,0.9954682779456193,0.9954682779456193,0.9969788519637462,100.0,10
4,1.0,1.0,1.0,1.0,0.1,100
5,1.0,1.0,1.0,1.0,1.0,100
6,1.0,1.0,1.0,1.0,10.0,100
7,0.9954682779456193,0.9954682779456193,0.9954682779456193,0.9969788519637462,100.0,100
8,1.0,1.0,1.0,1.0,0.1,1000
9,1.0,1.0,1.0,1.0,1.0,1000
10,1.0,1.0,1.0,1.0,10.0,1000
11,0.9954682779456193,0.9954682779456193,0.9954682779456193,0.9969788519637462,100.0,1000
12,1.0,1.0,1.0,1.0,0.1,10000
13,1.0,1.0,1.0,1.0,1.0,10000
14,1.0,1.0,1.0,1.0,10.0,10000
15,0.9954682779456193,0.9954682779456193,0.9954682779456193,0.9969788519637462,100.0,10000
16,1.0,1.0,1.0,1.0,0.1,100000
17,1.0,1.0,1.0,1.0,1.0,100000
18,1.0,1.0,1.0,1.0,10.0,100000
19,0.9954682779456193,0.9954682779456193,0.9954682779456193,0.9969788519637462,100.0,100000
20,1.0,1.0,1.0,1.0,0.1,1000000
21,1.0,1.0,1.0,1.0,1.0,1000000
22,1.0,1.0,1.0,1.0,10.0,1000000
23,0.9954682779456193,0.9954682779456193,0.9954682779456193,0.9969788519637462,100.0,1000000
24,1.0,1.0,1.0,1.0,0.1,10000000
25,1.0,1.0,1.0,1.0,1.0,10000000
26,1.0,1.0,1.0,1.0,10.0,10000000
27,0.9954682779456193,0.9954682779456193,0.9954682779456193,0.9969788519637462,100.0,10000000
